,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,,-additional
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-130,1997,32.9,44,28,27,13,4,18,27,66.7,9,43,25,18,26,70,116,2,Matches,67ac5bb8
139,Abdoulaye Doucouré,ml MLI,MF,Everton,30-117,1993,12.0,21,13,7,10,4,10,30,33.3,20,22,3,19,10,31,7,0,Matches,02b29014
140,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-110,2000,26.1,72,44,39,30,3,29,51,56.9,22,38,11,27,52,124,39,0,Matches,ce4f40c7
141,Flynn Downes,eng ENG,MF,West Ham,24-098,1999,5.5,11,7,3,7,1,3,6,50.0,3,11,1,10,4,15,3,0,Matches,69fdb896
142,Cody Drameh,eng ENG,DF,Leeds United,21-141,2001,0.8,5,4,0,4,1,2,3,66.7,1,0,0,0,1,6,1,0,Matches,e0d1510a
143,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-103,1989,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,3a949a25
144,Shane Duffy,ie IRL,FWDF,Fulham,31-117,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,7314bba4
145,Lewis Dunk,eng ENG,DF,Brighton,31-158,1991,30.0,23,14,16,5,2,11,23,47.8,12,30,21,9,28,51,72,0,Matches,282f75f3
146,Jhon Durán,co COL,FW,Aston Villa,19-136,2003,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,Matches,414184f7
147,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-236,2003,0.4,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0,Matches,fa9fa773
148,Ederson,br BRA,GK,Manchester City,29-254,1993,31.0,2,1,2,0,0,1,2,50.0,1,0,0,0,1,3,9,2,Matches,3bb7b8b4
149,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-102,1998,17.8,24,13,7,12,5,7,11,63.6,4,16,5,11,3,27,22,0,Matches,0562b7f1
150,Samuel Edozie,eng ENG,FWMF,Southampton,20-090,2003,6.1,16,9,5,10,1,3,8,37.5,5,7,0,7,6,22,6,0,Matches,007414dd
151,Anthony Elanga,se SWE,FW,Manchester Utd,21-001,2002,4.7,3,0,0,2,1,1,2,50.0,1,4,0,4,2,5,4,0,Matches,2fba6108
152,Harvey Elliott,eng ENG,MFFW,Liverpool,20-024,2003,16.6,22,14,6,10,6,6,29,20.7,23,25,1,24,14,36,7,0,Matches,c8387671
153,Mohamed Elneny,eg EGY,MF,Arsenal,30-291,1992,1.3,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,47a34c4f
154,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-267,1994,22.2,43,26,19,20,4,18,42,42.9,24,37,3,34,26,69,36,0,Matches,68dc0dac
155,Emerson,br BRA,DF,Tottenham,24-104,1999,15.5,42,26,28,11,3,20,32,62.5,12,15,3,12,12,54,58,0,Matches,df8b52a5
156,Christian Eriksen,dk DEN,MF,Manchester Utd,31-073,1992,18.2,14,11,8,3,3,6,23,26.1,17,21,8,13,10,24,18,1,Matches,980522ec
157,Pervis Estupiñán,ec ECU,DF,Brighton,25-097,1998,22.2,48,25,28,14,6,29,46,63.0,17,22,6,16,34,82,29,1,Matches,d38fdf53
158,Jonny Evans,nir NIR,DF,Leicester City,35-115,1988,9.0,10,4,10,0,0,6,10,60.0,4,6,5,1,16,26,33,0,Matches,f8fcd2a5
159,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-303,1998,24.3,38,23,15,17,6,14,32,43.8,18,21,0,21,9,47,8,0,Matches,ae4fc6a4
160,Łukasz Fabiański,pl POL,GK,West Ham,38-010,1985,28.6,2,0,2,0,0,1,2,50.0,1,0,0,0,0,2,8,1,Matches,9328b835
161,Fabinho,br BRA,MF,Liverpool,29-187,1993,24.2,53,31,16,33,4,19,50,38.0,31,33,11,22,32,85,30,0,Matches,7f3b388c
162,Wout Faes,be BEL,DF,Leicester City,25-025,1998,26.0,48,28,23,23,2,24,39,61.5,15,48,34,14,36,84,84,2,Matches,9c221d14
163,Felipe,br BRA,DF,Nott'ham Forest,33-347,1989,11.9,31,17,19,12,0,19,32,59.4,13,28,10,18,27,58,66,0,Matches,51a3c4c8
164,João Félix,pt POR,FWMF,Chelsea,23-169,1999,8.9,14,7,5,6,3,4,11,36.4,7,3,0,3,1,15,0,1,Matches,8aafd64f
165,Evan Ferguson,ie IRL,FW,Brighton,18-191,2004,6.7,6,3,1,3,2,1,5,20.0,4,9,1,8,1,7,4,0,Matches,4596da74
166,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-232,1994,30.0,58,35,21,22,15,27,57,47.4,30,29,5,24,20,78,39,1,Matches,507c7bdf
167,Enzo Fernández,ar ARG,MF,Chelsea,22-101,2001,11.4,35,22,21,12,2,15,43,34.9,28,25,2,23,12,47,11,0,Matches,5ff4ab71
168,Roberto Firmino,br BRA,FWMF,Liverpool,31-208,1991,12.6,16,12,2,11,3,3,17,17.6,14,15,1,14,6,22,2,0,Matches,4c370d81
169,Junior Firpo,es ESP,DF,Leeds United,26-249,1996,12.9,40,22,23,12,5,21,40,52.5,19,20,7,13,20,60,35,0,Matches,24f59bb2
170,Phil Foden,eng ENG,FW,Manchester City,22-335,2000,15.7,14,8,8,4,2,7,13,53.8,6,17,1,16,5,19,8,0,Matches,ed1e53f3
171,Datro Fofana,ci CIV,FW,Chelsea,20-127,2002,0.7,2,1,0,1,1,0,0,,0,1,0,1,0,2,0,0,Matches,e82900ef
172,Wesley Fofana,fr FRA,DF,Leicester City,22-132,2000,2.0,4,2,1,2,1,1,3,33.3,2,1,1,0,9,13,5,0,Matches,132a82f1
173,Wesley Fofana,fr FRA,DF,Chelsea,22-132,2000,9.7,25,16,15,6,4,11,20,55.0,9,11,6,5,18,43,28,0,Matches,132a82f1
174,Pablo Fornals,es ESP,FWMF,West Ham,27-065,1996,12.5,23,9,7,8,8,9,29,31.0,20,14,2,12,12,35,8,0,Matches,82927de4
175,Adam Forshaw,eng ENG,MF,Leeds United,31-202,1991,2.0,3,2,1,2,0,2,7,28.6,5,3,0,3,1,4,2,0,Matches,9f1938ab
176,Fraser Forster,eng ENG,GK,Tottenham,35-042,1988,8.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches,c3e39f12
177,Tyrese Francois,au AUS,FW,Fulham,22-286,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,6722d4f0
178,Ryan Fraser,sct SCO,FW,Newcastle Utd,29-063,1994,3.5,2,2,0,0,2,2,5,40.0,3,3,1,2,0,2,3,0,Matches,d56543a0
179,Fred,br BRA,MF,Manchester Utd,30-054,1993,11.7,40,25,22,15,3,10,33,30.3,23,33,1,32,15,55,15,0,Matches,b853e0ad
180,Ryan Fredericks,eng ENG,DF,Bournemouth,30-200,1992,5.9,3,2,2,0,1,1,4,25.0,3,7,2,5,1,4,27,0,Matches,c067631c
181,Remo Freuler,ch SUI,MF,Nott'ham Forest,31-013,1992,24.0,43,23,23,15,5,19,43,44.2,24,36,9,27,29,72,45,0,Matches,98d2c2c4
182,Cody Gakpo,nl NED,FW,Liverpool,23-356,1999,11.7,13,7,3,6,4,5,22,22.7,17,8,1,7,4,17,1,0,Matches,1971591f
183,Conor Gallagher,eng ENG,MFFW,Chelsea,23-081,2000,13.4,35,24,15,12,8,8,26,30.8,18,33,8,25,18,53,17,0,Matches,c2731c10
184,Idrissa Gana Gueye,sn SEN,MF,Everton,33-214,1989,24.2,83,48,43,30,10,24,49,49.0,25,44,10,34,50,133,30,3,Matches,72c812f3
185,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,18-301,2004,5.0,3,1,0,0,3,1,8,12.5,7,5,0,5,4,7,2,0,Matches,7aa8adfe
186,James Garner,eng ENG,MF,Everton,22-046,2001,4.1,10,8,1,7,2,4,11,36.4,7,4,0,4,7,17,2,0,Matches,4e015693
187,David de Gea,es ESP,GK,Manchester Utd,32-172,1990,31.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,1,Matches,7ba6d84e
188,Joe Gelhardt,eng ENG,FW,Leeds United,20-359,2002,2.4,6,2,1,3,2,3,5,60.0,2,5,0,5,0,6,4,0,Matches,01962d0d
189,Saman Ghoddos,ir IRN,MFDF,Brentford,29-234,1993,1.3,2,1,0,1,1,1,3,33.3,2,4,1,3,4,6,2,0,Matches,f7b1d4e0
190,Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-091,2000,2.0,3,1,3,0,0,2,3,66.7,1,2,0,2,1,4,3,0,Matches,32f60ed8
191,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-091,2000,28.0,22,11,6,5,11,9,28,32.1,19,20,3,17,12,34,12,0,Matches,32f60ed8
192,Billy Gilmour,sct SCO,MF,Brighton,21-321,2001,1.8,1,0,0,1,0,1,7,14.3,6,1,0,1,1,2,3,0,Matches,df10e27c
193,Degnand Gnonto,it ITA,FWMF,Leeds United,19-174,2003,12.4,23,15,6,12,5,9,25,36.0,16,18,1,17,4,27,7,0,Matches,75fdd638
194,Ben Godfrey,eng ENG,DF,Everton,25-103,1998,8.9,20,11,13,5,2,11,29,37.9,18,12,6,6,8,28,33,1,Matches,9f7c837d
195,João Gomes,br BRA,MFFW,Wolves,22-075,2001,4.8,24,11,11,12,1,11,17,64.7,6,11,3,8,3,27,10,0,Matches,8b57ad2c
196,Toti Gomes,pt POR,DF,Wolves,24-102,1999,7.5,9,6,6,3,0,5,7,71.4,2,14,7,7,8,17,39,0,Matches,f0caab96
197,Joe Gomez,eng ENG,DF,Liverpool,25-340,1997,15.3,28,21,15,11,2,11,19,57.9,8,16,11,5,22,50,50,2,Matches,7a11550b
198,Sergio Gómez,es ESP,DFMF,Manchester City,22-236,2000,1.9,5,2,3,1,1,2,4,50.0,2,5,3,2,2,7,5,0,Matches,01e5f06e
199,Anthony Gordon,eng ENG,FWMF,Newcastle Utd,22-063,2001,3.8,11,9,4,5,2,7,16,43.8,9,6,0,6,1,12,0,1,Matches,2bd83368
200,Anthony Gordon,eng ENG,FW,Everton,22-063,2001,12.2,34,22,17,10,7,8,23,34.8,15,19,0,19,4,38,11,0,Matches,2bd83368
201,Demarai Gray,eng ENG,FWMF,Everton,26-304,1996,26.2,29,21,7,13,9,15,28,53.6,13,21,3,18,11,40,18,0,Matches,4468ec10
202,Jack Grealish,eng ENG,FW,Manchester City,27-230,1995,20.7,24,15,10,11,3,13,20,65.0,7,16,2,14,7,31,7,0,Matches,b0b4fd3e
203,Sam Greenwood,eng ENG,MFFW,Leeds United,21-092,2002,3.8,11,7,7,4,0,5,15,33.3,10,9,2,7,1,12,1,0,Matches,f3354c07
204,Pascal Groß,de GER,MFDF,Brighton,31-317,1991,29.2,48,30,18,24,6,22,47,46.8,25,26,8,18,12,60,15,1,Matches,8aec0537
205,Vicente Guaita,es ESP,GK,Crystal Palace,36-108,1987,27.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1,Matches,ab13a5aa
206,Gonçalo Guedes,pt POR,FWMF,Wolves,26-150,1996,7.9,8,6,4,3,1,5,8,62.5,3,4,0,4,1,9,2,0,Matches,e6bc67d7
207,Marc Guéhi,eng ENG,DF,Crystal Palace,22-289,2000,32.0,46,23,36,9,1,22,38,57.9,16,43,23,20,40,86,120,3,Matches,d0706b27
208,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-163,1997,24.3,63,30,23,35,5,27,50,54.0,23,25,4,21,27,90,16,1,Matches,82518f62
209,İlkay Gündoğan,de GER,MF,Manchester City,32-186,1990,22.3,26,16,6,10,10,11,28,39.3,17,16,3,13,19,45,12,0,Matches,819b3158
210,Darko Gyabi,eng ENG,FW,Leeds United,19-069,2004,0.1,2,2,1,1,0,0,0,,0,2,0,2,0,2,0,0,Matches,56d838f7
211,Erling Haaland,no NOR,FW,Manchester City,22-281,2000,25.7,3,2,0,2,1,1,5,20.0,4,11,4,7,2,5,11,0,Matches,1f44ac21
212,Lewis Hall,eng ENG,DFMF,Chelsea,18-232,2004,3.4,11,3,10,1,0,8,12,66.7,4,4,0,4,10,21,5,1,Matches,da011f18
213,Luke Harris,wls WAL,MFFW,Fulham,18-025,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,8c3078cd
214,Jack Harrison,eng ENG,FWMF,Leeds United,26-159,1996,26.0,39,17,4,15,20,12,46,26.1,34,40,1,39,21,60,19,0,Matches,aa849a12
215,Kai Havertz,de GER,FWMF,Chelsea,23-321,1999,24.6,33,15,4,19,10,9,28,32.1,19,27,0,27,7,40,37,0,Matches,fed7cb61
216,Jan Paul van Hecke,nl NED,DF,Brighton,22-324,2000,1.0,2,1,1,1,0,1,1,100.0,0,0,0,0,4,6,3,0,Matches,4fd08daa
217,Hwang Hee-chan,kr KOR,FWMF,Wolves,27-092,1996,9.8,18,9,7,8,3,6,18,33.3,12,13,0,13,3,21,4,0,Matches,169fd162
218,Dean Henderson,eng ENG,GK,Nott'ham Forest,26-047,1997,18.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,1,Matches,e5a76dfe
219,Jordan Henderson,eng ENG,MF,Liverpool,32-315,1990,19.6,26,18,10,12,4,11,25,44.0,14,19,3,16,20,46,14,0,Matches,935e6b8f
220,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-094,1987,2.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches,76eca7e2
221,Rico Henry,eng ENG,DF,Brentford,25-294,1997,31.5,54,29,19,27,8,22,38,57.9,16,26,7,19,25,79,73,1,Matches,8a3c1dc7
222,Son Heung-min,kr KOR,MFFW,Tottenham,30-294,1992,27.3,21,10,6,8,7,8,24,33.3,16,21,2,19,10,31,5,0,Matches,92e7e919
223,Aaron Hickey,sct SCO,DF,Brentford,20-322,2002,16.6,35,23,24,11,0,18,31,58.1,13,13,6,7,17,52,26,0,Matches,1780bb4a
224,Joseph Hodge,ie IRL,MF,Wolves,20-226,2002,1.9,5,2,1,3,1,3,4,75.0,1,5,0,5,0,5,2,1,Matches,bd8a5d95
225,Rob Holding,eng ENG,DF,Arsenal,27-220,1995,6.2,8,5,4,4,0,3,6,50.0,3,6,5,1,3,11,26,1,Matches,d79a8c87
226,Mason Holgate,eng ENG,DF,Everton,26-188,1996,4.9,11,7,8,3,0,3,9,33.3,6,7,3,4,7,18,26,0,Matches,d0042ab9
227,Will Hughes,eng ENG,MF,Crystal Palace,28-011,1995,6.3,22,12,10,11,1,9,16,56.3,7,10,5,5,10,32,4,0,Matches,a0666d3e
228,Omari Hutchinson,eng ENG,FW,Chelsea,19-180,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches,bd9553e6
229,Pierre Højbjerg,dk DEN,MF,Tottenham,27-266,1995,31.8,49,26,24,20,5,23,60,38.3,37,46,17,29,45,94,62,1,Matches,8b04d6c1
230,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-207,1996,11.2,7,2,0,3,4,3,9,33.3,6,6,1,5,0,7,8,0,Matches,c92e1a31
231,Danny Ings,eng ENG,FW,West Ham,30-279,1992,5.9,5,4,0,3,2,2,8,25.0,6,5,2,3,3,8,4,0,Matches,07802f7f
232,Danny Ings,eng ENG,FW,Aston Villa,30-279,1992,9.2,10,5,1,6,3,1,6,16.7,5,12,1,11,1,11,11,0,Matches,07802f7f
233,Alexander Isak,se SWE,FW,Newcastle Utd,23-219,1999,11.0,11,5,1,5,5,6,20,30.0,14,16,1,15,2,13,7,0,Matches,8e92be30
234,Daniel Iversen,dk DEN,GK,Leicester City,25-283,1997,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches,10d221cd
235,Alex Iwobi,ng NGA,MFFW,Everton,26-360,1996,32.5,62,36,34,25,3,30,56,53.6,26,34,2,32,20,82,25,0,Matches,6ca5ec4b
236,Daniel James,wls WAL,FW,Leeds United,25-169,1997,2.2,6,2,1,3,2,3,6,50.0,3,4,0,4,2,8,2,0,Matches,c931d9f9
237,Daniel James,wls WAL,FW,Fulham,25-169,1997,6.5,9,5,4,4,1,4,8,50.0,4,5,1,4,1,10,5,0,Matches,c931d9f9
238,Reece James,eng ENG,DFMF,Chelsea,23-141,1999,13.8,31,20,10,18,3,15,19,78.9,4,17,2,15,12,43,23,0,Matches,1265a93a
239,Vitaly Janelt,de GER,MFDF,Brentford,24-353,1998,19.9,49,25,20,21,8,18,42,42.9,24,22,8,14,24,73,24,0,Matches,8449d35e
240,Pontus Jansson,se SWE,DF,Brentford,32-074,1991,8.0,5,3,4,1,0,3,5,60.0,2,13,9,4,9,14,38,0,Matches,172e52d8
241,Mathias Jensen,dk DEN,MF,Brentford,27-117,1996,27.9,65,31,26,28,11,32,92,34.8,60,50,5,45,30,95,22,1,Matches,0f134faf
242,Gabriel Jesus,br BRA,FW,Arsenal,26-025,1997,18.1,26,21,13,7,6,11,22,50.0,11,18,2,16,9,35,10,1,Matches,b66315ae
243,Raúl Jiménez,mx MEX,FW,Wolves,31-358,1991,8.3,9,6,3,5,1,3,5,60.0,2,9,0,9,0,9,8,0,Matches,b561db50
244,Joelinton,br BRA,MFFW,Newcastle Utd,26-257,1996,25.7,61,42,30,23,8,22,52,42.3,30,48,6,42,41,102,36,0,Matches,c17bfb65
245,Ben Johnson,eng ENG,DF,West Ham,23-094,2000,8.3,20,14,12,4,4,12,18,66.7,6,11,4,7,8,28,25,1,Matches,9319781b
246,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-340,2001,29.7,27,18,12,8,7,6,22,27.3,16,27,1,26,4,31,3,1,Matches,0cd31129
247,Sam Johnstone,eng ENG,GK,Crystal Palace,30-034,1993,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches,9e5708be
248,Curtis Jones,eng ENG,MF,Liverpool,22-088,2001,6.5,20,9,5,8,7,10,18,55.6,8,4,0,4,3,23,5,0,Matches,4fb9c88f
249,Jorginho,it ITA,MF,Arsenal,31-129,1991,4.9,9,5,2,6,1,1,10,10.0,9,3,1,2,6,15,4,0,Matches,45db685d
250,Jorginho,it ITA,MF,Chelsea,31-129,1991,14.2,42,23,22,14,6,22,46,47.8,24,18,3,15,21,63,7,0,Matches,45db685d
251,Mateo Joseph,eng ENG,FWMF,Leeds United,19-191,2003,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches,6ad43f9a
252,Diogo Jota,pt POR,FW,Liverpool,26-145,1996,9.9,20,12,8,8,4,10,32,31.3,22,3,0,3,3,23,10,0,Matches,178ae8f8
253,Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,23-071,2000,4.7,17,11,5,9,3,6,18,33.3,12,9,0,9,2,19,1,0,Matches,570bb4b9
254,James Justin,eng ENG,DF,Leicester City,25-064,1998,13.9,20,18,7,12,1,9,14,64.3,5,24,6,18,15,35,47,0,Matches,fb614c44
255,Mathias Jørgensen,dk DEN,DF,Brentford,33-005,1990,10.1,14,7,8,6,0,8,17,47.1,9,19,12,7,14,28,32,1,Matches,0db5d2c8
256,Sasa Kalajdzic,at AUT,FW,Wolves,25-295,1997,0.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches,15f24fe7
257,Boubacar Kamara,fr FRA,MF,Aston Villa,23-156,1999,17.4,49,23,21,20,8,24,50,48.0,26,35,11,24,17,66,24,2,Matches,cc77354e
258,Harry Kane,eng ENG,FW,Tottenham,29-274,1993,32.8,13,11,1,5,7,7,17,41.2,10,21,5,16,2,15,14,0,Matches,21a66f6a
259,N'Golo Kanté,fr FRA,MF,Chelsea,32-030,1991,4.1,14,8,3,10,1,3,6,50.0,3,4,0,4,5,19,2,0,Matches,b9fbae28
260,Michael Keane,eng ENG,DF,Everton,30-107,1993,9.3,5,2,3,2,0,4,5,80.0,1,11,6,5,12,17,50,1,Matches,c5b7c315
261,Neeskens Kebano,cd COD,FW,Fulham,31-049,1992,8.0,12,5,7,5,0,7,14,50.0,7,12,0,12,1,13,8,0,Matches,18b999f4
262,Thilo Kehrer,de GER,DF,West Ham,26-219,1996,21.3,37,22,21,12,4,19,40,47.5,21,15,6,9,29,66,63,1,Matches,51dbeea9
263,Naby Keïta,gn GUI,MF,Liverpool,28-077,1995,3.3,5,4,2,3,0,1,4,25.0,3,1,0,1,2,7,3,0,Matches,f25c8e3a
264,Lloyd Kelly,eng ENG,DF,Bournemouth,24-204,1998,17.7,22,14,15,6,1,10,14,71.4,4,20,12,8,19,41,76,1,Matches,f31def1e
265,Max Kilman,eng ENG,DF,Wolves,25-340,1997,33.0,33,17,23,9,1,13,24,54.2,11,63,40,23,17,50,151,0,Matches,d0f72bf1
266,Jakub Kiwior,pl POL,DF,Arsenal,23-072,2000,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,dc3e663e
267,Mateusz Klich,pl POL,MFFW,Leeds United,32-319,1990,3.1,12,8,3,4,5,7,13,53.8,6,4,0,4,0,12,1,0,Matches,282679b4
268,Robin Koch,de GER,DF,Leeds United,26-285,1996,31.3,45,27,29,13,3,22,45,48.9,23,38,18,20,42,87,139,1,Matches,ea6bc03a
269,Ibrahima Konaté,fr FRA,DF,Liverpool,23-338,1999,12.2,28,18,18,10,0,13,24,54.2,11,11,5,6,20,48,47,3,Matches,5ed9b537
270,Ezri Konsa,eng ENG,DF,Aston Villa,25-187,1997,31.9,35,13,21,12,2,16,21,76.2,5,32,17,15,19,54,113,3,Matches,0313a347
271,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-312,1991,19.9,43,29,32,8,3,25,39,64.1,14,29,12,17,29,72,76,0,Matches,da974c7b
272,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33-128,1989,8.8,22,16,12,8,2,5,8,62.5,3,14,2,12,8,30,22,0,Matches,8d3c902d
273,Mateo Kovačić,hr CRO,MF,Chelsea,28-357,1994,17.2,33,21,14,14,5,13,32,40.6,19,8,1,7,18,51,14,0,Matches,79c0821a
274,Emil Krafth,se SWE,DF,Newcastle Utd,28-269,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,77cf6852
275,Dejan Kulusevski,se SWE,MFFW,Tottenham,23-003,2000,20.2,37,15,23,7,7,16,40,40.0,24,16,0,16,11,48,6,0,Matches,df3cda47
276,Layvin Kurzawa,fr FRA,DF,Fulham,30-236,1992,1.5,3,2,1,1,1,3,3,100.0,0,1,1,0,2,5,4,0,Matches,41e7ef1c
