,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,-additional
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-130,1997,32.9,23,0.70,20,0,0,2,0,1,2,0.06,2,0,0,0,0,0,Matches,67ac5bb8
139,Abdoulaye Doucouré,ml MLI,MF,Everton,30-117,1993,12.0,33,2.75,28,0,3,2,0,0,2,0.17,2,0,0,0,0,0,Matches,02b29014
140,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-110,2000,26.1,53,2.03,40,0,2,5,2,4,5,0.19,3,0,0,1,0,1,Matches,ce4f40c7
141,Flynn Downes,eng ENG,MF,West Ham,24-098,1999,5.5,10,1.81,5,0,0,3,2,0,0,0.00,0,0,0,0,0,0,Matches,69fdb896
142,Cody Drameh,eng ENG,DF,Leeds United,21-141,2001,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e0d1510a
143,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-103,1989,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3a949a25
144,Shane Duffy,ie IRL,FWDF,Fulham,31-117,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7314bba4
145,Lewis Dunk,eng ENG,DF,Brighton,31-158,1991,30.0,24,0.80,23,0,0,1,0,0,2,0.07,2,0,0,0,0,0,Matches,282f75f3
146,Jhon Durán,co COL,FW,Aston Villa,19-136,2003,0.9,3,3.21,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,414184f7
147,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-236,2003,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,fa9fa773
148,Ederson,br BRA,GK,Manchester City,29-254,1993,31.0,2,0.06,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,3bb7b8b4
149,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-102,1998,17.8,41,2.30,30,0,1,9,1,0,4,0.22,4,0,0,0,0,0,Matches,0562b7f1
150,Samuel Edozie,eng ENG,FWMF,Southampton,20-090,2003,6.1,18,2.94,11,0,3,0,4,0,0,0.00,0,0,0,0,0,0,Matches,007414dd
151,Anthony Elanga,se SWE,FW,Manchester Utd,21-001,2002,4.7,17,3.59,13,0,0,3,1,0,1,0.21,1,0,0,0,0,0,Matches,2fba6108
152,Harvey Elliott,eng ENG,MFFW,Liverpool,20-024,2003,16.6,64,3.85,51,1,5,5,1,1,8,0.48,8,0,0,0,0,0,Matches,c8387671
153,Mohamed Elneny,eg EGY,MF,Arsenal,30-291,1992,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,47a34c4f
154,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-267,1994,22.2,40,1.80,34,0,1,2,2,1,4,0.18,4,0,0,0,0,0,Matches,68dc0dac
155,Emerson,br BRA,DF,Tottenham,24-104,1999,15.5,33,2.14,31,0,0,0,1,1,2,0.13,2,0,0,0,0,0,Matches,df8b52a5
156,Christian Eriksen,dk DEN,MF,Manchester Utd,31-073,1992,18.2,57,3.12,41,13,1,2,0,0,8,0.44,6,2,0,0,0,0,Matches,980522ec
157,Pervis Estupiñán,ec ECU,DF,Brighton,25-097,1998,22.2,68,3.06,63,1,2,0,2,0,6,0.27,5,0,0,0,1,0,Matches,d38fdf53
158,Jonny Evans,nir NIR,DF,Leicester City,35-115,1988,9.0,4,0.44,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f8fcd2a5
159,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-303,1998,24.3,95,3.91,55,18,9,4,7,2,11,0.45,6,1,4,0,0,0,Matches,ae4fc6a4
160,Łukasz Fabiański,pl POL,GK,West Ham,38-010,1985,28.6,2,0.07,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9328b835
161,Fabinho,br BRA,MF,Liverpool,29-187,1993,24.2,44,1.82,39,0,0,1,2,2,6,0.25,5,0,0,0,1,0,Matches,7f3b388c
162,Wout Faes,be BEL,DF,Leicester City,25-025,1998,26.0,21,0.81,15,0,1,3,0,2,3,0.12,2,0,0,0,0,1,Matches,9c221d14
163,Felipe,br BRA,DF,Nott'ham Forest,33-347,1989,11.9,11,0.93,9,0,0,2,0,0,1,0.08,1,0,0,0,0,0,Matches,51a3c4c8
164,João Félix,pt POR,FWMF,Chelsea,23-169,1999,8.9,27,3.03,13,2,5,3,4,0,1,0.11,1,0,0,0,0,0,Matches,8aafd64f
165,Evan Ferguson,ie IRL,FW,Brighton,18-191,2004,6.7,12,1.80,10,0,0,2,0,0,2,0.30,2,0,0,0,0,0,Matches,4596da74
166,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-232,1994,30.0,165,5.50,124,21,5,9,6,0,15,0.50,14,0,0,1,0,0,Matches,507c7bdf
167,Enzo Fernández,ar ARG,MF,Chelsea,22-101,2001,11.4,35,3.07,29,3,0,2,1,0,4,0.35,4,0,0,0,0,0,Matches,5ff4ab71
168,Roberto Firmino,br BRA,FWMF,Liverpool,31-208,1991,12.6,42,3.32,32,0,4,6,0,0,7,0.55,4,0,1,2,0,0,Matches,4c370d81
169,Junior Firpo,es ESP,DF,Leeds United,26-249,1996,12.9,20,1.55,15,2,0,0,2,1,2,0.16,2,0,0,0,0,0,Matches,24f59bb2
170,Phil Foden,eng ENG,FW,Manchester City,22-335,2000,15.7,75,4.79,59,8,3,4,1,0,13,0.83,10,0,3,0,0,0,Matches,ed1e53f3
171,Datro Fofana,ci CIV,FW,Chelsea,20-127,2002,0.7,5,7.38,1,0,4,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e82900ef
172,Wesley Fofana,fr FRA,DF,Leicester City,22-132,2000,2.0,2,1.00,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,132a82f1
173,Wesley Fofana,fr FRA,DF,Chelsea,22-132,2000,9.7,10,1.03,10,0,0,0,0,0,2,0.21,2,0,0,0,0,0,Matches,132a82f1
174,Pablo Fornals,es ESP,FWMF,West Ham,27-065,1996,12.5,42,3.35,36,1,1,3,0,1,2,0.16,1,0,1,0,0,0,Matches,82927de4
175,Adam Forshaw,eng ENG,MF,Leeds United,31-202,1991,2.0,4,1.96,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9f1938ab
176,Fraser Forster,eng ENG,GK,Tottenham,35-042,1988,8.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c3e39f12
177,Tyrese Francois,au AUS,FW,Fulham,22-286,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6722d4f0
178,Ryan Fraser,sct SCO,FW,Newcastle Utd,29-063,1994,3.5,8,2.30,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,d56543a0
179,Fred,br BRA,MF,Manchester Utd,30-054,1993,11.7,44,3.76,36,0,0,4,2,2,3,0.26,2,0,0,1,0,0,Matches,b853e0ad
180,Ryan Fredericks,eng ENG,DF,Bournemouth,30-200,1992,5.9,5,0.84,4,0,1,0,0,0,1,0.17,1,0,0,0,0,0,Matches,c067631c
181,Remo Freuler,ch SUI,MF,Nott'ham Forest,31-013,1992,24.0,29,1.21,27,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,98d2c2c4
182,Cody Gakpo,nl NED,FW,Liverpool,23-356,1999,11.7,31,2.64,22,0,2,4,1,2,3,0.26,3,0,0,0,0,0,Matches,1971591f
183,Conor Gallagher,eng ENG,MFFW,Chelsea,23-081,2000,13.4,38,2.84,27,4,3,2,1,1,3,0.22,2,0,1,0,0,0,Matches,c2731c10
184,Idrissa Gana Gueye,sn SEN,MF,Everton,33-214,1989,24.2,44,1.82,30,0,1,2,6,5,3,0.12,2,0,0,0,0,1,Matches,72c812f3
185,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,18-301,2004,5.0,14,2.78,10,0,2,1,1,0,5,0.99,4,0,1,0,0,0,Matches,7aa8adfe
186,James Garner,eng ENG,MF,Everton,22-046,2001,4.1,5,1.22,3,0,0,1,1,0,2,0.49,2,0,0,0,0,0,Matches,4e015693
187,David de Gea,es ESP,GK,Manchester Utd,32-172,1990,31.0,4,0.13,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7ba6d84e
188,Joe Gelhardt,eng ENG,FW,Leeds United,20-359,2002,2.4,4,1.70,4,0,0,0,0,0,2,0.85,2,0,0,0,0,0,Matches,01962d0d
189,Saman Ghoddos,ir IRN,MFDF,Brentford,29-234,1993,1.3,3,2.29,0,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,f7b1d4e0
190,Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-091,2000,2.0,4,2.00,2,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,32f60ed8
191,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-091,2000,28.0,107,3.82,67,23,8,4,2,3,9,0.32,4,3,1,1,0,0,Matches,32f60ed8
192,Billy Gilmour,sct SCO,MF,Brighton,21-321,2001,1.8,3,1.66,3,0,0,0,0,0,1,0.55,1,0,0,0,0,0,Matches,df10e27c
193,Degnand Gnonto,it ITA,FWMF,Leeds United,19-174,2003,12.4,41,3.29,24,3,4,3,7,0,6,0.48,5,1,0,0,0,0,Matches,75fdd638
194,Ben Godfrey,eng ENG,DF,Everton,25-103,1998,8.9,4,0.45,4,0,0,0,0,0,2,0.22,2,0,0,0,0,0,Matches,9f7c837d
195,João Gomes,br BRA,MFFW,Wolves,22-075,2001,4.8,12,2.49,8,0,1,1,2,0,2,0.41,1,0,0,1,0,0,Matches,8b57ad2c
196,Toti Gomes,pt POR,DF,Wolves,24-102,1999,7.5,7,0.93,7,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches,f0caab96
197,Joe Gomez,eng ENG,DF,Liverpool,25-340,1997,15.3,17,1.11,14,1,0,1,0,1,1,0.07,1,0,0,0,0,0,Matches,7a11550b
198,Sergio Gómez,es ESP,DFMF,Manchester City,22-236,2000,1.9,3,1.55,2,1,0,0,0,0,1,0.52,1,0,0,0,0,0,Matches,01e5f06e
199,Anthony Gordon,eng ENG,FWMF,Newcastle Utd,22-063,2001,3.8,11,2.92,7,1,0,1,1,1,1,0.27,1,0,0,0,0,0,Matches,2bd83368
200,Anthony Gordon,eng ENG,FW,Everton,22-063,2001,12.2,23,1.89,13,0,1,6,1,2,0,0.00,0,0,0,0,0,0,Matches,2bd83368
201,Demarai Gray,eng ENG,FWMF,Everton,26-304,1996,26.2,87,3.32,40,24,3,11,8,1,4,0.15,2,2,0,0,0,0,Matches,4468ec10
202,Jack Grealish,eng ENG,FW,Manchester City,27-230,1995,20.7,94,4.54,65,6,6,5,11,1,18,0.87,13,1,0,1,2,1,Matches,b0b4fd3e
203,Sam Greenwood,eng ENG,MFFW,Leeds United,21-092,2002,3.8,21,5.59,4,16,0,1,0,0,3,0.80,0,2,0,1,0,0,Matches,f3354c07
204,Pascal Groß,de GER,MFDF,Brighton,31-317,1991,29.2,116,3.97,78,31,1,4,1,1,11,0.38,10,1,0,0,0,0,Matches,8aec0537
205,Vicente Guaita,es ESP,GK,Crystal Palace,36-108,1987,27.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ab13a5aa
206,Gonçalo Guedes,pt POR,FWMF,Wolves,26-150,1996,7.9,27,3.44,15,3,1,2,5,1,1,0.13,1,0,0,0,0,0,Matches,e6bc67d7
207,Marc Guéhi,eng ENG,DF,Crystal Palace,22-289,2000,32.0,21,0.66,17,1,0,2,1,0,1,0.03,1,0,0,0,0,0,Matches,d0706b27
208,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-163,1997,24.3,79,3.25,64,1,2,1,9,2,11,0.45,10,0,0,0,0,1,Matches,82518f62
209,İlkay Gündoğan,de GER,MF,Manchester City,32-186,1990,22.3,84,3.77,65,7,2,4,4,2,16,0.72,12,1,0,1,2,0,Matches,819b3158
210,Darko Gyabi,eng ENG,FW,Leeds United,19-069,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,56d838f7
211,Erling Haaland,no NOR,FW,Manchester City,22-281,2000,25.7,60,2.33,40,0,4,9,6,1,14,0.54,11,0,0,1,2,0,Matches,1f44ac21
212,Lewis Hall,eng ENG,DFMF,Chelsea,18-232,2004,3.4,12,3.55,7,2,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches,da011f18
213,Luke Harris,wls WAL,MFFW,Fulham,18-025,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8c3078cd
214,Jack Harrison,eng ENG,FWMF,Leeds United,26-159,1996,26.0,105,4.03,62,24,7,5,5,2,8,0.31,5,1,1,1,0,0,Matches,aa849a12
215,Kai Havertz,de GER,FWMF,Chelsea,23-321,1999,24.6,57,2.31,49,2,1,4,1,0,4,0.16,3,0,0,1,0,0,Matches,fed7cb61
216,Jan Paul van Hecke,nl NED,DF,Brighton,22-324,2000,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4fd08daa
217,Hwang Hee-chan,kr KOR,FWMF,Wolves,27-092,1996,9.8,22,2.25,19,0,1,1,1,0,2,0.20,2,0,0,0,0,0,Matches,169fd162
218,Dean Henderson,eng ENG,GK,Nott'ham Forest,26-047,1997,18.0,3,0.17,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e5a76dfe
219,Jordan Henderson,eng ENG,MF,Liverpool,32-315,1990,19.6,59,3.02,53,1,0,3,0,2,5,0.26,4,0,0,1,0,0,Matches,935e6b8f
220,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-094,1987,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,76eca7e2
221,Rico Henry,eng ENG,DF,Brentford,25-294,1997,31.5,41,1.30,36,1,0,1,2,1,5,0.16,4,0,0,0,1,0,Matches,8a3c1dc7
222,Son Heung-min,kr KOR,MFFW,Tottenham,30-294,1992,27.3,108,3.96,64,25,6,9,4,0,11,0.40,7,2,2,0,0,0,Matches,92e7e919
223,Aaron Hickey,sct SCO,DF,Brentford,20-322,2002,16.6,12,0.72,7,1,0,2,2,0,1,0.06,0,0,0,1,0,0,Matches,1780bb4a
224,Joseph Hodge,ie IRL,MF,Wolves,20-226,2002,1.9,2,1.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,bd8a5d95
225,Rob Holding,eng ENG,DF,Arsenal,27-220,1995,6.2,5,0.80,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches,d79a8c87
226,Mason Holgate,eng ENG,DF,Everton,26-188,1996,4.9,9,1.82,7,1,0,1,0,0,2,0.41,2,0,0,0,0,0,Matches,d0042ab9
227,Will Hughes,eng ENG,MF,Crystal Palace,28-011,1995,6.3,12,1.90,9,2,0,1,0,0,1,0.16,0,0,0,1,0,0,Matches,a0666d3e
228,Omari Hutchinson,eng ENG,FW,Chelsea,19-180,2003,0.3,1,3.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,bd9553e6
229,Pierre Højbjerg,dk DEN,MF,Tottenham,27-266,1995,31.8,93,2.93,86,0,2,2,1,2,14,0.44,14,0,0,0,0,0,Matches,8b04d6c1
230,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-207,1996,11.2,40,3.58,28,1,4,5,2,0,5,0.45,5,0,0,0,0,0,Matches,c92e1a31
231,Danny Ings,eng ENG,FW,West Ham,30-279,1992,5.9,5,0.85,4,0,1,0,0,0,1,0.17,1,0,0,0,0,0,Matches,07802f7f
232,Danny Ings,eng ENG,FW,Aston Villa,30-279,1992,9.2,16,1.75,12,0,2,2,0,0,1,0.11,0,0,1,0,0,0,Matches,07802f7f
233,Alexander Isak,se SWE,FW,Newcastle Utd,23-219,1999,11.0,30,2.74,16,0,4,8,1,1,3,0.27,0,0,2,1,0,0,Matches,8e92be30
234,Daniel Iversen,dk DEN,GK,Leicester City,25-283,1997,7.0,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,10d221cd
235,Alex Iwobi,ng NGA,MFFW,Everton,26-360,1996,32.5,102,3.14,78,8,6,5,3,2,7,0.22,6,0,0,0,1,0,Matches,6ca5ec4b
236,Daniel James,wls WAL,FW,Leeds United,25-169,1997,2.2,4,1.82,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,c931d9f9
237,Daniel James,wls WAL,FW,Fulham,25-169,1997,6.5,10,1.54,9,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,c931d9f9
238,Reece James,eng ENG,DFMF,Chelsea,23-141,1999,13.8,47,3.40,36,5,3,2,1,0,3,0.22,2,0,0,0,1,0,Matches,1265a93a
239,Vitaly Janelt,de GER,MFDF,Brentford,24-353,1998,19.9,41,2.06,34,1,2,2,0,2,3,0.15,3,0,0,0,0,0,Matches,8449d35e
240,Pontus Jansson,se SWE,DF,Brentford,32-074,1991,8.0,2,0.25,1,0,0,1,0,0,1,0.12,1,0,0,0,0,0,Matches,172e52d8
241,Mathias Jensen,dk DEN,MF,Brentford,27-117,1996,27.9,90,3.22,42,40,1,3,3,1,11,0.39,6,3,0,1,0,1,Matches,0f134faf
242,Gabriel Jesus,br BRA,FW,Arsenal,26-025,1997,18.1,70,3.86,32,1,11,11,12,3,10,0.55,6,0,1,1,2,0,Matches,b66315ae
243,Raúl Jiménez,mx MEX,FW,Wolves,31-358,1991,8.3,16,1.94,11,0,1,3,1,0,2,0.24,1,0,0,1,0,0,Matches,b561db50
244,Joelinton,br BRA,MFFW,Newcastle Utd,26-257,1996,25.7,73,2.84,49,1,9,7,7,0,10,0.39,4,1,2,2,1,0,Matches,c17bfb65
245,Ben Johnson,eng ENG,DF,West Ham,23-094,2000,8.3,8,0.97,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9319781b
246,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-340,2001,29.7,51,1.71,33,0,6,7,4,1,8,0.27,3,0,1,3,1,0,Matches,0cd31129
247,Sam Johnstone,eng ENG,GK,Crystal Palace,30-034,1993,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9e5708be
248,Curtis Jones,eng ENG,MF,Liverpool,22-088,2001,6.5,26,4.00,21,0,2,1,1,1,4,0.62,3,0,1,0,0,0,Matches,4fb9c88f
249,Jorginho,it ITA,MF,Arsenal,31-129,1991,4.9,9,1.84,8,0,0,0,0,1,2,0.41,2,0,0,0,0,0,Matches,45db685d
250,Jorginho,it ITA,MF,Chelsea,31-129,1991,14.2,29,2.04,29,0,0,0,0,0,2,0.14,2,0,0,0,0,0,Matches,45db685d
251,Mateo Joseph,eng ENG,FWMF,Leeds United,19-191,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6ad43f9a
252,Diogo Jota,pt POR,FW,Liverpool,26-145,1996,9.9,24,2.43,15,0,3,4,2,0,5,0.51,4,0,1,0,0,0,Matches,178ae8f8
253,Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,23-071,2000,4.7,20,4.22,12,7,1,0,0,0,1,0.21,1,0,0,0,0,0,Matches,570bb4b9
254,James Justin,eng ENG,DF,Leicester City,25-064,1998,13.9,21,1.51,17,0,2,0,2,0,2,0.14,0,0,1,0,1,0,Matches,fb614c44
255,Mathias Jørgensen,dk DEN,DF,Brentford,33-005,1990,10.1,5,0.49,3,2,0,0,0,0,1,0.10,0,1,0,0,0,0,Matches,0db5d2c8
256,Sasa Kalajdzic,at AUT,FW,Wolves,25-295,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,15f24fe7
257,Boubacar Kamara,fr FRA,MF,Aston Villa,23-156,1999,17.4,22,1.26,18,0,1,0,3,0,4,0.23,2,0,1,0,1,0,Matches,cc77354e
258,Harry Kane,eng ENG,FW,Tottenham,29-274,1993,32.8,120,3.65,81,2,12,12,10,3,14,0.43,9,0,1,3,1,0,Matches,21a66f6a
259,N'Golo Kanté,fr FRA,MF,Chelsea,32-030,1991,4.1,21,5.16,19,0,1,1,0,0,1,0.25,1,0,0,0,0,0,Matches,b9fbae28
260,Michael Keane,eng ENG,DF,Everton,30-107,1993,9.3,6,0.65,5,0,0,1,0,0,1,0.11,1,0,0,0,0,0,Matches,c5b7c315
261,Neeskens Kebano,cd COD,FW,Fulham,31-049,1992,8.0,21,2.62,16,0,0,2,3,0,5,0.62,4,0,0,1,0,0,Matches,18b999f4
262,Thilo Kehrer,de GER,DF,West Ham,26-219,1996,21.3,21,0.99,15,3,0,3,0,0,4,0.19,2,1,0,1,0,0,Matches,51dbeea9
263,Naby Keïta,gn GUI,MF,Liverpool,28-077,1995,3.3,12,3.67,10,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,f25c8e3a
264,Lloyd Kelly,eng ENG,DF,Bournemouth,24-204,1998,17.7,14,0.79,11,1,0,1,1,0,2,0.11,2,0,0,0,0,0,Matches,f31def1e
265,Max Kilman,eng ENG,DF,Wolves,25-340,1997,33.0,21,0.64,19,0,0,1,1,0,2,0.06,1,0,0,1,0,0,Matches,d0f72bf1
266,Jakub Kiwior,pl POL,DF,Arsenal,23-072,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,dc3e663e
267,Mateusz Klich,pl POL,MFFW,Leeds United,32-319,1990,3.1,7,2.26,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,282679b4
268,Robin Koch,de GER,DF,Leeds United,26-285,1996,31.3,10,0.32,7,2,0,1,0,0,2,0.06,2,0,0,0,0,0,Matches,ea6bc03a
269,Ibrahima Konaté,fr FRA,DF,Liverpool,23-338,1999,12.2,15,1.23,10,0,1,2,1,1,1,0.08,1,0,0,0,0,0,Matches,5ed9b537
270,Ezri Konsa,eng ENG,DF,Aston Villa,25-187,1997,31.9,13,0.41,12,0,0,1,0,0,2,0.06,2,0,0,0,0,0,Matches,0313a347
271,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-312,1991,19.9,21,1.06,17,0,0,2,0,2,3,0.15,3,0,0,0,0,0,Matches,da974c7b
272,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33-128,1989,8.8,8,0.91,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8d3c902d
273,Mateo Kovačić,hr CRO,MF,Chelsea,28-357,1994,17.2,58,3.36,50,1,1,4,0,2,2,0.12,2,0,0,0,0,0,Matches,79c0821a
274,Emil Krafth,se SWE,DF,Newcastle Utd,28-269,1994,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,77cf6852
275,Dejan Kulusevski,se SWE,MFFW,Tottenham,23-003,2000,20.2,85,4.20,64,2,13,5,0,1,9,0.44,8,0,1,0,0,0,Matches,df3cda47
276,Layvin Kurzawa,fr FRA,DF,Fulham,30-236,1992,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,41e7ef1c
