,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
111,Matheus Cunha,br BRA,FW,Wolves,23-336,1999,9.3,2,24,7,29.2,2.59,0.75,0.08,0.29,19.4,0,0,0,1.8,1.8,0.08,+0.2,+0.2,Matches,dc62b55d
112,Patson Daka,zm ZAM,FW,Leicester City,24-201,1998,12.0,4,30,16,53.3,2.49,1.33,0.13,0.25,14.6,0,0,0,3.5,3.5,0.12,+0.5,+0.5,Matches,ca45605e
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-041,1999,20.9,1,21,6,28.6,1.01,0.29,0.05,0.17,19.4,0,0,0,2.4,2.4,0.12,-1.4,-1.4,Matches,d9565625
114,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-299,2000,8.1,0,6,4,66.7,0.74,0.49,0.00,0.00,19.0,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches,215f3907
115,Danilo,br BRA,MF,Nott'ham Forest,21-364,2001,7.1,1,10,2,20.0,1.42,0.28,0.10,0.50,23.7,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches,a816dbfb
116,Arnaut Danjuma,nl NED,FWMF,Tottenham,26-087,1997,1.0,1,4,3,75.0,3.96,2.97,0.25,0.33,14.1,0,0,0,0.6,0.6,0.14,+0.4,+0.4,Matches,f08490a6
117,Josh Dasilva,eng ENG,MF,Brentford,24-187,1998,14.5,3,15,5,33.3,1.04,0.35,0.20,0.60,19.8,0,0,0,1.4,1.4,0.09,+1.6,+1.6,Matches,60344e4f
118,Ben Davies,wls WAL,DF,Tottenham,30-004,1993,20.5,2,14,5,35.7,0.68,0.24,0.14,0.40,16.7,0,0,0,1.0,1.0,0.07,+1.0,+1.0,Matches,44781702
119,Tom Davies,eng ENG,MF,Everton,24-302,1998,6.0,0,9,2,22.2,1.51,0.33,0.00,0.00,15.7,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches,9228b07c
120,Craig Dawson,eng ENG,DF,West Ham,32-357,1990,8.0,0,6,1,16.7,0.75,0.12,0.00,0.00,15.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,3e9e06cb
121,Craig Dawson,eng ENG,DF,Wolves,32-357,1990,12.2,1,10,2,20.0,0.82,0.16,0.10,0.50,11.5,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches,3e9e06cb
122,Kevin De Bruyne,be BEL,MF,Manchester City,31-304,1991,25.1,7,64,21,32.8,2.55,0.84,0.11,0.33,23.0,7,0,0,5.5,5.5,0.09,+1.5,+1.5,Matches,e46012d4
123,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-233,1996,1.2,0,2,2,100.0,1.64,1.64,0.00,0.00,16.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,11f54bd5
124,Leander Dendoncker,be BEL,MF,Aston Villa,28-013,1995,7.0,0,2,0,0.0,0.29,0.00,0.00,,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,5a7301ae
125,Leander Dendoncker,be BEL,MF,Wolves,28-013,1995,2.4,0,3,2,66.7,1.26,0.84,0.00,0.00,16.7,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches,5a7301ae
126,Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,25-164,1997,7.8,2,20,6,30.0,2.57,0.77,0.10,0.33,12.8,2,0,0,1.8,1.8,0.09,+0.2,+0.2,Matches,2c44a35d
127,Halil Dervişoğlu,tr TUR,MF,Brentford,23-141,1999,0.1,0,1,0,0.0,11.25,0.00,0.00,,31.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,9d8cf204
128,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-234,1998,24.7,2,25,6,24.0,1.01,0.24,0.08,0.33,21.4,0,0,0,2.3,2.3,0.09,-0.3,-0.3,Matches,5c74c0f5
129,Ibrahima Diallo,fr FRA,MF,Southampton,24-051,1999,9.1,0,6,0,0.0,0.66,0.00,0.00,,28.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,11ff3d56
130,Rúben Dias,pt POR,DF,Manchester City,25-349,1997,19.2,0,10,2,20.0,0.52,0.10,0.00,0.00,9.1,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches,31c69ef1
131,Luis Díaz,co COL,FW,Liverpool,26-105,1997,7.4,3,18,7,38.9,2.44,0.95,0.17,0.43,13.5,0,0,0,1.8,1.8,0.10,+1.2,+1.2,Matches,4a1a9578
132,Eric Dier,eng ENG,DF,Tottenham,29-103,1994,30.3,2,17,4,23.5,0.56,0.13,0.12,0.50,11.8,2,0,0,1.6,1.6,0.10,+0.4,+0.4,Matches,ac861941
133,Lucas Digne,fr FRA,DF,Aston Villa,29-282,1993,14.9,1,7,3,42.9,0.47,0.20,0.14,0.33,20.3,3,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches,1b84dbe1
134,Issa Diop,fr FRA,DF,Fulham,26-109,1997,16.7,1,3,2,66.7,0.18,0.12,0.33,0.50,12.3,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches,a712ca2b
135,Moussa Djenepo,ml MLI,DFFW,Southampton,24-317,1998,7.0,0,3,2,66.7,0.43,0.29,0.00,0.00,13.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,254147d4
136,Ben Doak,sct SCO,FW,Liverpool,17-168,2005,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,733f1a7d
137,Matt Doherty,ie IRL,DFMF,Tottenham,31-102,1992,7.4,1,10,2,20.0,1.35,0.27,0.10,0.50,12.1,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches,d557d734
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-130,1997,32.9,3,29,9,31.0,0.88,0.27,0.10,0.33,12.4,0,0,0,4.6,4.6,0.16,-1.6,-1.6,Matches,67ac5bb8
139,Abdoulaye Doucouré,ml MLI,MF,Everton,30-117,1993,12.0,2,13,3,23.1,1.08,0.25,0.15,0.67,11.8,0,0,0,1.6,1.6,0.12,+0.4,+0.4,Matches,02b29014
140,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-110,2000,26.1,0,31,6,19.4,1.19,0.23,0.00,0.00,24.9,0,0,0,1.2,1.2,0.04,-1.2,-1.2,Matches,ce4f40c7
141,Flynn Downes,eng ENG,MF,West Ham,24-098,1999,5.5,0,4,1,25.0,0.73,0.18,0.00,0.00,14.6,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches,69fdb896
142,Cody Drameh,eng ENG,DF,Leeds United,21-141,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e0d1510a
143,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-103,1989,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3a949a25
144,Shane Duffy,ie IRL,FWDF,Fulham,31-117,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7314bba4
145,Lewis Dunk,eng ENG,DF,Brighton,31-158,1991,30.0,1,21,3,14.3,0.70,0.10,0.05,0.33,11.7,1,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches,282f75f3
146,Jhon Durán,co COL,FW,Aston Villa,19-136,2003,0.9,0,7,2,28.6,7.50,2.14,0.00,0.00,19.8,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,414184f7
147,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-236,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fa9fa773
148,Ederson,br BRA,GK,Manchester City,29-254,1993,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3bb7b8b4
149,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-102,1998,17.8,4,36,13,36.1,2.02,0.73,0.11,0.31,12.4,0,0,0,3.8,3.8,0.11,+0.2,+0.2,Matches,0562b7f1
150,Samuel Edozie,eng ENG,FWMF,Southampton,20-090,2003,6.1,0,8,3,37.5,1.30,0.49,0.00,0.00,16.5,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches,007414dd
151,Anthony Elanga,se SWE,FW,Manchester Utd,21-001,2002,4.7,0,10,4,40.0,2.11,0.85,0.00,0.00,13.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,2fba6108
152,Harvey Elliott,eng ENG,MFFW,Liverpool,20-024,2003,16.6,1,29,10,34.5,1.74,0.60,0.03,0.10,18.9,0,0,0,1.8,1.8,0.06,-0.8,-0.8,Matches,c8387671
153,Mohamed Elneny,eg EGY,MF,Arsenal,30-291,1992,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,47a34c4f
154,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-267,1994,22.2,0,32,8,25.0,1.44,0.36,0.00,0.00,16.6,0,0,0,2.7,2.7,0.09,-2.7,-2.7,Matches,68dc0dac
155,Emerson,br BRA,DF,Tottenham,24-104,1999,15.5,2,15,6,40.0,0.97,0.39,0.13,0.33,16.1,0,0,0,1.6,1.6,0.11,+0.4,+0.4,Matches,df8b52a5
156,Christian Eriksen,dk DEN,MF,Manchester Utd,31-073,1992,18.2,1,29,9,31.0,1.59,0.49,0.03,0.11,18.4,4,0,0,3.6,3.6,0.13,-2.6,-2.6,Matches,980522ec
157,Pervis Estupiñán,ec ECU,DF,Brighton,25-097,1998,22.2,0,19,2,10.5,0.85,0.09,0.00,0.00,20.1,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches,d38fdf53
158,Jonny Evans,nir NIR,DF,Leicester City,35-115,1988,9.0,0,1,1,100.0,0.11,0.11,0.00,0.00,3.8,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches,f8fcd2a5
159,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-303,1998,24.3,7,57,21,36.8,2.35,0.86,0.12,0.33,22.6,11,0,0,4.8,4.8,0.08,+2.2,+2.2,Matches,ae4fc6a4
160,Łukasz Fabiański,pl POL,GK,West Ham,38-010,1985,28.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9328b835
161,Fabinho,br BRA,MF,Liverpool,29-187,1993,24.2,0,16,4,25.0,0.66,0.17,0.00,0.00,21.2,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches,7f3b388c
162,Wout Faes,be BEL,DF,Leicester City,25-025,1998,26.0,0,11,2,18.2,0.42,0.08,0.00,0.00,12.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,9c221d14
163,Felipe,br BRA,DF,Nott'ham Forest,33-347,1989,11.9,0,9,1,11.1,0.76,0.08,0.00,0.00,10.1,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches,51a3c4c8
164,João Félix,pt POR,FWMF,Chelsea,23-169,1999,8.9,2,36,13,36.1,4.03,1.46,0.06,0.15,18.3,2,0,0,3.6,3.6,0.10,-1.6,-1.6,Matches,8aafd64f
165,Evan Ferguson,ie IRL,FW,Brighton,18-191,2004,6.7,4,23,12,52.2,3.44,1.80,0.17,0.33,15.8,0,0,0,3.5,3.5,0.15,+0.5,+0.5,Matches,4596da74
166,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-232,1994,30.0,5,68,24,35.3,2.27,0.80,0.06,0.17,20.7,4,1,1,6.7,5.9,0.09,-1.7,-1.9,Matches,507c7bdf
167,Enzo Fernández,ar ARG,MF,Chelsea,22-101,2001,11.4,0,13,2,15.4,1.14,0.18,0.00,0.00,23.2,1,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,5ff4ab71
168,Roberto Firmino,br BRA,FWMF,Liverpool,31-208,1991,12.6,9,37,23,62.2,2.93,1.82,0.24,0.39,12.5,0,0,0,4.9,4.9,0.13,+4.1,+4.1,Matches,4c370d81
169,Junior Firpo,es ESP,DF,Leeds United,26-249,1996,12.9,1,1,1,100.0,0.08,0.08,1.00,1.00,10.9,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches,24f59bb2
170,Phil Foden,eng ENG,FW,Manchester City,22-335,2000,15.7,9,35,19,54.3,2.23,1.21,0.26,0.47,14.6,1,0,0,4.8,4.8,0.14,+4.2,+4.2,Matches,ed1e53f3
171,Datro Fofana,ci CIV,FW,Chelsea,20-127,2002,0.7,0,3,1,33.3,4.43,1.48,0.00,0.00,19.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,e82900ef
172,Wesley Fofana,fr FRA,DF,Leicester City,22-132,2000,2.0,0,2,1,50.0,1.00,0.50,0.00,0.00,10.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,132a82f1
173,Wesley Fofana,fr FRA,DF,Chelsea,22-132,2000,9.7,1,6,2,33.3,0.62,0.21,0.17,0.50,11.4,0,0,0,0.7,0.7,0.12,+0.3,+0.3,Matches,132a82f1
174,Pablo Fornals,es ESP,FWMF,West Ham,27-065,1996,12.5,2,19,6,31.6,1.52,0.48,0.11,0.33,22.4,0,0,0,1.7,1.7,0.09,+0.3,+0.3,Matches,82927de4
175,Adam Forshaw,eng ENG,MF,Leeds United,31-202,1991,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9f1938ab
176,Fraser Forster,eng ENG,GK,Tottenham,35-042,1988,8.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c3e39f12
177,Tyrese Francois,au AUS,FW,Fulham,22-286,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6722d4f0
178,Ryan Fraser,sct SCO,FW,Newcastle Utd,29-063,1994,3.5,0,6,1,16.7,1.73,0.29,0.00,0.00,16.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,d56543a0
179,Fred,br BRA,MF,Manchester Utd,30-054,1993,11.7,2,25,5,20.0,2.13,0.43,0.08,0.40,19.4,0,0,0,1.9,1.9,0.08,+0.1,+0.1,Matches,b853e0ad
180,Ryan Fredericks,eng ENG,DF,Bournemouth,30-200,1992,5.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c067631c
181,Remo Freuler,ch SUI,MF,Nott'ham Forest,31-013,1992,24.0,0,8,1,12.5,0.33,0.04,0.00,0.00,20.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,98d2c2c4
182,Cody Gakpo,nl NED,FW,Liverpool,23-356,1999,11.7,6,30,8,26.7,2.55,0.68,0.20,0.75,13.8,0,0,0,4.2,4.2,0.14,+1.8,+1.8,Matches,1971591f
183,Conor Gallagher,eng ENG,MFFW,Chelsea,23-081,2000,13.4,2,19,8,42.1,1.42,0.60,0.11,0.25,18.4,0,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches,c2731c10
184,Idrissa Gana Gueye,sn SEN,MF,Everton,33-214,1989,24.2,0,10,4,40.0,0.41,0.17,0.00,0.00,26.0,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,72c812f3
185,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,18-301,2004,5.0,2,16,6,37.5,3.18,1.19,0.13,0.33,16.1,0,0,0,1.6,1.6,0.10,+0.4,+0.4,Matches,7aa8adfe
186,James Garner,eng ENG,MF,Everton,22-046,2001,4.1,0,6,2,33.3,1.46,0.49,0.00,0.00,23.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,4e015693
187,David de Gea,es ESP,GK,Manchester Utd,32-172,1990,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7ba6d84e
188,Joe Gelhardt,eng ENG,FW,Leeds United,20-359,2002,2.4,0,10,2,20.0,4.25,0.85,0.00,0.00,23.5,1,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches,01962d0d
189,Saman Ghoddos,ir IRN,MFDF,Brentford,29-234,1993,1.3,0,1,1,100.0,0.77,0.77,0.00,0.00,19.2,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,f7b1d4e0
190,Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-091,2000,2.0,0,3,1,33.3,1.50,0.50,0.00,0.00,11.5,0,0,0,0.7,0.7,0.24,-0.7,-0.7,Matches,32f60ed8
191,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-091,2000,28.0,4,51,17,33.3,1.82,0.61,0.06,0.18,20.0,3,1,1,4.8,4.0,0.08,-0.8,-1.0,Matches,32f60ed8
192,Billy Gilmour,sct SCO,MF,Brighton,21-321,2001,1.8,0,2,0,0.0,1.10,0.00,0.00,,17.1,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,df10e27c
193,Degnand Gnonto,it ITA,FWMF,Leeds United,19-174,2003,12.4,2,18,7,38.9,1.45,0.56,0.11,0.29,18.8,0,0,0,1.4,1.4,0.08,+0.6,+0.6,Matches,75fdd638
194,Ben Godfrey,eng ENG,DF,Everton,25-103,1998,8.9,0,6,0,0.0,0.67,0.00,0.00,,13.1,0,0,0,1.2,1.2,0.21,-1.2,-1.2,Matches,9f7c837d
195,João Gomes,br BRA,MFFW,Wolves,22-075,2001,4.8,1,3,1,33.3,0.62,0.21,0.33,1.00,21.9,0,0,0,0.2,0.2,0.09,+0.8,+0.8,Matches,8b57ad2c
196,Toti Gomes,pt POR,DF,Wolves,24-102,1999,7.5,0,2,1,50.0,0.27,0.13,0.00,0.00,8.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,f0caab96
197,Joe Gomez,eng ENG,DF,Liverpool,25-340,1997,15.3,0,5,1,20.0,0.33,0.07,0.00,0.00,23.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,7a11550b
198,Sergio Gómez,es ESP,DFMF,Manchester City,22-236,2000,1.9,0,4,0,0.0,2.07,0.00,0.00,,20.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,01e5f06e
199,Anthony Gordon,eng ENG,FWMF,Newcastle Utd,22-063,2001,3.8,0,5,1,20.0,1.33,0.27,0.00,0.00,15.3,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches,2bd83368
200,Anthony Gordon,eng ENG,FW,Everton,22-063,2001,12.2,3,26,16,61.5,2.14,1.32,0.12,0.19,16.6,1,0,0,3.3,3.3,0.13,-0.3,-0.3,Matches,2bd83368
201,Demarai Gray,eng ENG,FWMF,Everton,26-304,1996,26.2,4,50,20,40.0,1.91,0.76,0.04,0.10,19.8,7,2,2,5.6,4.0,0.08,-1.6,-2.0,Matches,4468ec10
202,Jack Grealish,eng ENG,FW,Manchester City,27-230,1995,20.7,5,35,12,34.3,1.69,0.58,0.14,0.42,15.0,0,0,0,4.2,4.2,0.12,+0.8,+0.8,Matches,b0b4fd3e
203,Sam Greenwood,eng ENG,MFFW,Leeds United,21-092,2002,3.8,1,11,2,18.2,2.92,0.53,0.09,0.50,24.3,5,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches,f3354c07
204,Pascal Groß,de GER,MFDF,Brighton,31-317,1991,29.2,6,29,13,44.8,0.99,0.44,0.21,0.46,16.3,0,0,0,4.4,4.4,0.15,+1.6,+1.6,Matches,8aec0537
205,Vicente Guaita,es ESP,GK,Crystal Palace,36-108,1987,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ab13a5aa
206,Gonçalo Guedes,pt POR,FWMF,Wolves,26-150,1996,7.9,1,19,6,31.6,2.42,0.76,0.05,0.17,18.4,1,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches,e6bc67d7
207,Marc Guéhi,eng ENG,DF,Crystal Palace,22-289,2000,32.0,1,10,6,60.0,0.31,0.19,0.10,0.17,8.5,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches,d0706b27
208,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-163,1997,24.3,3,21,6,28.6,0.86,0.25,0.14,0.50,20.7,0,0,0,1.6,1.6,0.08,+1.4,+1.4,Matches,82518f62
209,İlkay Gündoğan,de GER,MF,Manchester City,32-186,1990,22.3,4,47,15,31.9,2.11,0.67,0.09,0.27,18.2,4,0,0,5.9,5.9,0.12,-1.9,-1.9,Matches,819b3158
210,Darko Gyabi,eng ENG,FW,Leeds United,19-069,2004,0.1,0,1,0,0.0,11.25,0.00,0.00,,17.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,56d838f7
211,Erling Haaland,no NOR,FW,Manchester City,22-281,2000,25.7,33,96,47,49.0,3.73,1.83,0.28,0.57,12.5,0,6,6,24.0,19.5,0.21,+9.0,+7.5,Matches,1f44ac21
212,Lewis Hall,eng ENG,DFMF,Chelsea,18-232,2004,3.4,0,5,2,40.0,1.48,0.59,0.00,0.00,13.3,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches,da011f18
213,Luke Harris,wls WAL,MFFW,Fulham,18-025,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8c3078cd
214,Jack Harrison,eng ENG,FWMF,Leeds United,26-159,1996,26.0,4,34,12,35.3,1.31,0.46,0.12,0.33,17.5,3,0,0,4.3,4.3,0.13,-0.3,-0.3,Matches,aa849a12
215,Kai Havertz,de GER,FWMF,Chelsea,23-321,1999,24.6,7,61,27,44.3,2.48,1.10,0.10,0.22,12.4,0,1,1,10.4,9.6,0.16,-3.4,-3.6,Matches,fed7cb61
216,Jan Paul van Hecke,nl NED,DF,Brighton,22-324,2000,1.0,0,2,0,0.0,2.07,0.00,0.00,,16.3,0,0,0,0.6,0.6,0.30,-0.6,-0.6,Matches,4fd08daa
217,Hwang Hee-chan,kr KOR,FWMF,Wolves,27-092,1996,9.8,2,12,6,50.0,1.23,0.62,0.17,0.33,16.1,0,0,0,1.7,1.7,0.14,+0.3,+0.3,Matches,169fd162
218,Dean Henderson,eng ENG,GK,Nott'ham Forest,26-047,1997,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e5a76dfe
219,Jordan Henderson,eng ENG,MF,Liverpool,32-315,1990,19.6,0,19,4,21.1,0.97,0.20,0.00,0.00,21.8,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches,935e6b8f
220,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-094,1987,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,76eca7e2
